,real_target,Prediction
0,meningoencephalitis : causes,[{'summary_text': 'meningoencephalitis : physiology : causes physiological : treatments . physiologic syndrome : symptoms'}]
1,ingrown nail : prevention,[{'summary_text': 'ingrown toe nails : physiology . diagnosis : causes . causes : treatments  physiologic ephemeral syndrome'}]
2,hives : symptoms,[{'summary_text': 'cutaneous condition|welts from hives . causes include allergic or nonallergic . urticarial vasculitis .'}]
3,central diabetes insipidus : treatments,[{'summary_text': 'desmopressin : treatments physiology : treatment physiologie . physiologic syndrome : prevention'}]
4,amnesia : general,[{'summary_text': 'amnesia : physiology : symptoms : causes  physiologic disease : treatments : diagnosis'}]
5,intrinsic value (animal ethics) : general,[{'summary_text': 'intrinsic value of a human . he says animal rights advocates reaffirm the importance of intrinsic value . animal rights : physiology'}]
6,common cold : diagnosis,[{'summary_text': 'viral upper respiratory tract infection : symptoms . bronchitis : diagnose physiology : diagnosis : treatments'}]
7,autosomal dominant polycystic kidney disease : physiology,[{'summary_text': 'adpkd : physiology : causes . ciliopathy|ciliopathies : symptoms'}]
8,alcoholic cardiomyopathy : diagnosis,[{'summary_text': 'enlarged heart on chest x-ray . symptoms include ecg abnormalities . alcohol abuse . diagnosis : diagnosis'}]
9,hypohidrosis : treatments,[{'summary_text': 'hypohidrosis : treatments - treatments : treatment . physiology of sjögren syndrome : therapies'}]
10,vaginal yeast infection : diagnosis,[{'summary_text': 'candidal vulvovaginitis : symptoms . physiology of candida : physiological'}]
11,spinal tumor : physiology,[{'summary_text': 'spinal cord : physiology . physiologic fibrosis : causes physiological : treatments : symptoms'}]
12,night terror : diagnosis,[{'summary_text': 'sleep terror disorder : diagnose . physiology of a nervous system : diagnosis : diagnostic : treatments - treatments'}]
13,pathology : diagnosis,[{'summary_text': 'general pathology : physiology : treatments . san francisco disease : diagnostics : diagnosis'}]
14,toxoplasmic chorioretinitis : physiology,[{'summary_text': 'congenital toxoplasma gondii : physiology . physiologic sclerosis : causes'}]
15,presbycusis : physiology,[{'summary_text': 'presbycusis : physiology - physiologies : causes . physiologic presynthetic syndrome : symptoms'}]
16,pectus excavatum : diagnosis,[{'summary_text': 'pectus excavatum . hepatitis c : diagnosis . physiologic systole : diagnose'}]
17,hereditary breast–ovarian cancer syndrome : general,[{'summary_text': 'hereditary breast–ovarian cancer syndrome . he says genetic susceptibility to cancer mainly in women . cancer : causes'}]
18,familial mediterranean fever : symptoms,[{'summary_text': 'aa-amyloidosis : physiology : symptoms - symptoms : causes . socioeconomics'}]
19,mucoepidermoid carcinoma : diagnosis,[{'summary_text': 'mucoepidermoid carcinoma : physiology . bronchial and salivary glands : diagnosis'}]
20,rectovaginal fistula : general,[{'summary_text': 'rectovaginal fistula : physiology : symptoms . physiologic fibrosis : diagnosis'}]
21,coronary artery aneurysm : causes,[{'summary_text': 'acquired causes include atherosclerosis . kawasaki disease and coronary catheterization . congenital sclerosis : causes'}]
22,specific language impairment : general,[{'summary_text': 'specific language impairment : causes physiology : symptoms . sociology and social sciences : treatments physiologic : diagnosis'}]
23,ganglioglioma : physiology,[{'summary_text': 'ganglioglioma : physiology : treatments physiologic : causes . physiologist : symptoms'}]
24,dehydration : prevention,[{'summary_text': 'thirst : physiology : treatments : prevention : interventions : causes : symptoms : responses to illness : general'}]
25,neuromuscular junction : general,"[{'summary_text': 'neuromuscular junction (or myoneural junction), a chemical synapse . he says motor neuron : physiology'}]"
