,real_target,QS-Prediction,AS-Prediction
0,meningoencephalitis : causes,meningoencephalitis is a chronic disease . .,meningoencephalitis : physiology : causes physiological : treatments . physiologic syndrome : symptoms
1,ingrown nail : prevention,ingrown nail : prevention . click here for more information .,ingrown toe nails : physiology . diagnosis : causes . causes : treatments  physiologic ephemeral syndrome
2,hives : symptoms,hives symptoms : symptoms of a coma .,cutaneous condition|welts from hives . causes include allergic or nonallergic . urticarial vasculitis .
3,central diabetes insipidus : treatments,central diabetes insipidus is a disease characterized by ,desmopressin : treatments physiology : treatment physiologie . physiologic syndrome : prevention
4,amnesia : general,amnesia is the most populous country in the world .,amnesia : physiology : symptoms : causes  physiologic disease : treatments : diagnosis
5,intrinsic value (animal ethics) : general,intrinsic value (animal ethics) : a . .,intrinsic value of a human . he says animal rights advocates reaffirm the importance of intrinsic value . animal rights : physiology
6,common cold : diagnosis,common cold symptoms : diagnosis . : s,viral upper respiratory tract infection : symptoms . bronchitis : diagnose physiology : diagnosis : treatments
7,autosomal dominant polycystic kidney disease : physiology,autosomal dominant polycystic kidney disease : physio,adpkd : physiology : causes . ciliopathy|ciliopathies : symptoms
8,alcoholic cardiomyopathy : diagnosis,alcoholic cardiomyopathy is the most common disorder in the world .,enlarged heart on chest x-ray . symptoms include ecg abnormalities . alcohol abuse . diagnosis : diagnosis
9,hypohidrosis : treatments,hypohidrosis is a chronic disease . it can lead to,hypohidrosis : treatments - treatments : treatment . physiology of sjögren syndrome : therapies
10,vaginal yeast infection : diagnosis,vaginal yeast infection : diagnosis and treatment . u.,candidal vulvovaginitis : symptoms . physiology of candida : physiological
11,spinal tumor : physiology,spinal tumor . physiology : physiologist .,spinal cord : physiology . physiologic fibrosis : causes physiological : treatments : symptoms
12,night terror : diagnosis,night terror diagnosis : diagnosis of . swollen eyes ,sleep terror disorder : diagnose . physiology of a nervous system : diagnosis : diagnostic : treatments - treatments
13,pathology : diagnosis,pathology is the most common symptom in the u.s.,general pathology : physiology : treatments . san francisco disease : diagnostics : diagnosis
14,toxoplasmic chorioretinitis : physiology,toxoplasmic chorioretinitis :,congenital toxoplasma gondii : physiology . physiologic sclerosis : causes
15,presbycusis : physiology,presbycusis : physiology . .,presbycusis : physiology - physiologies : causes . physiologic presynthetic syndrome : symptoms
16,pectus excavatum : diagnosis,pectus excavatum : diagnosis . .,pectus excavatum . hepatitis c : diagnosis . physiologic systole : diagnose
17,hereditary breast–ovarian cancer syndrome : general,hereditary breast–ovarian cancer syndrome : a symptom,hereditary breast–ovarian cancer syndrome . he says genetic susceptibility to cancer mainly in women . cancer : causes
18,familial mediterranean fever : symptoms,familial mediterranean fever : symptoms . ,aa-amyloidosis : physiology : symptoms - symptoms : causes . socioeconomics
19,mucoepidermoid carcinoma : diagnosis,mucoepidermoid carcinoma : diagnosis . .,mucoepidermoid carcinoma : physiology . bronchial and salivary glands : diagnosis
20,rectovaginal fistula : general,rectovaginal fistula : a .,rectovaginal fistula : physiology : symptoms . physiologic fibrosis : diagnosis
21,coronary artery aneurysm : causes,coronary artery aneurysm : causes of .,acquired causes include atherosclerosis . kawasaki disease and coronary catheterization . congenital sclerosis : causes
22,specific language impairment : general,specific language impairment : a general apprehension .,specific language impairment : causes physiology : symptoms . sociology and social sciences : treatments physiologic : diagnosis
23,ganglioglioma : physiology,ganglioglioma : physiology .,ganglioglioma : physiology : treatments physiologic : causes . physiologist : symptoms
24,dehydration : prevention,dehydration is the prevention of a serious illness . .,thirst : physiology : treatments : prevention : interventions : causes : symptoms : responses to illness : general
25,neuromuscular junction : general,neuromuscular junction : systoma .,"neuromuscular junction (or myoneural junction), a chemical synapse . he says motor neuron : physiology"
26,hidradenitis suppurativa : general,hidradenitis suppurativa : general,hidradenitis suppurativa . he says underlying cause of disease is a combination of genetic and environmental factors .
27,gigantism : treatments,gigantism is a treatment for a serious disease .,"gigantism : treatments physiology : treatment . acromegaly, san francisco, edinburgh, daniel et al., psg: treatments"
28,immunodeficiency : causes,immunodeficiency : causes of a symptom .,immunodeficiency . causes : causes physiology . physiologies : symptoms . symptoms : physiologic
29,cystocele : causes,cystocele : causes of a coma .,a cystocele : physiology : causes physiological . physiologic fibromyalgenia : symptoms
30,lichen planus : symptoms,lichen planus symptoms : symptoms . a coma,lichen planus : physiology : treatments physiologique . physiologic syndrome : symptoms : diagnosis
31,multiple endocrine neoplasia type 2 : treatments,multiple endocrine neoplasia type 2 ,men2 patients : management : diagnosis : treatments : treatment : interventions  interventions ; treatments ; diagnosis ; treatment
