,real_target,Prediction
0,meningoencephalitis : causes,[{'summary_text': 'meningoencephalitis is a chronic disease . .'}]
1,ingrown nail : prevention,[{'summary_text': 'ingrown nail : prevention . click here for more information .'}]
2,hives : symptoms,[{'summary_text': 'hives symptoms : symptoms of a coma .'}]
3,central diabetes insipidus : treatments,[{'summary_text': 'central diabetes insipidus is a disease characterized by '}]
4,amnesia : general,[{'summary_text': 'amnesia is the most populous country in the world .'}]
5,intrinsic value (animal ethics) : general,[{'summary_text': 'intrinsic value (animal ethics) : a . .'}]
6,common cold : diagnosis,[{'summary_text': 'common cold symptoms : diagnosis . : s'}]
7,autosomal dominant polycystic kidney disease : physiology,[{'summary_text': 'autosomal dominant polycystic kidney disease : physio'}]
8,alcoholic cardiomyopathy : diagnosis,[{'summary_text': 'alcoholic cardiomyopathy is the most common disorder in the world .'}]
9,hypohidrosis : treatments,[{'summary_text': 'hypohidrosis is a chronic disease . it can lead to'}]
10,vaginal yeast infection : diagnosis,[{'summary_text': 'vaginal yeast infection : diagnosis and treatment . u.'}]
11,spinal tumor : physiology,[{'summary_text': 'spinal tumor . physiology : physiologist .'}]
12,night terror : diagnosis,[{'summary_text': 'night terror diagnosis : diagnosis of . swollen eyes '}]
13,pathology : diagnosis,[{'summary_text': 'pathology is the most common symptom in the u.s.'}]
14,toxoplasmic chorioretinitis : physiology,[{'summary_text': 'toxoplasmic chorioretinitis :'}]
15,presbycusis : physiology,[{'summary_text': 'presbycusis : physiology . .'}]
16,pectus excavatum : diagnosis,[{'summary_text': 'pectus excavatum : diagnosis . .'}]
17,hereditary breast–ovarian cancer syndrome : general,[{'summary_text': 'hereditary breast–ovarian cancer syndrome : a symptom'}]
18,familial mediterranean fever : symptoms,[{'summary_text': 'familial mediterranean fever : symptoms . '}]
19,mucoepidermoid carcinoma : diagnosis,[{'summary_text': 'mucoepidermoid carcinoma : diagnosis . .'}]
20,rectovaginal fistula : general,[{'summary_text': 'rectovaginal fistula : a .'}]
21,coronary artery aneurysm : causes,[{'summary_text': 'coronary artery aneurysm : causes of .'}]
22,specific language impairment : general,[{'summary_text': 'specific language impairment : a general apprehension .'}]
23,ganglioglioma : physiology,[{'summary_text': 'ganglioglioma : physiology .'}]
24,dehydration : prevention,[{'summary_text': 'dehydration is the prevention of a serious illness . .'}]
25,neuromuscular junction : general,[{'summary_text': 'neuromuscular junction : systoma .'}]
26,hidradenitis suppurativa : general,[{'summary_text': 'hidradenitis suppurativa : general'}]
27,gigantism : treatments,[{'summary_text': 'gigantism is a treatment for a serious disease .'}]
28,immunodeficiency : causes,[{'summary_text': 'immunodeficiency : causes of a symptom .'}]
29,cystocele : causes,[{'summary_text': 'cystocele : causes of a coma .'}]
30,lichen planus : symptoms,[{'summary_text': 'lichen planus symptoms : symptoms . a coma'}]
31,multiple endocrine neoplasia type 2 : treatments,[{'summary_text': 'multiple endocrine neoplasia type 2 '}]
32,spinal muscular atrophy : general,[{'summary_text': 'spinal muscular atrophy : a sclerosis . .'}]
33,lung abscess : symptoms,[{'summary_text': 'lung abscess . symptoms : symptoms . .'}]
34,wagr syndrome : symptoms,[{'summary_text': 'wagr syndrome . symptoms are common in england '}]
35,aniseikonia : symptoms,[{'summary_text': 'aniseikonia is a chronic disease . .'}]
36,diabetic ketoacidosis : treatments,[{'summary_text': 'diabetic ketoacidosis . a symptom .'}]
37,mucoepidermoid carcinoma : symptoms,[{'summary_text': 'mucoepidermoid carcinoma : symptoms . .'}]
38,african horse sickness : diagnosis,[{'summary_text': 'african horse sickness is the most common condition in the uk .'}]
39,mouth ulcer : diagnosis,[{'summary_text': 'mouth ulcer : diagnosis of a comorbidity .'}]
40,morphea : general,[{'summary_text': 'morphea : a symbiosis'}]
41,infective endocarditis : prevention,[{'summary_text': 'infective endocarditis : prevention and prevention .'}]
42,hypopituitarism : physiology,[{'summary_text': 'hypopituitarism : physiology . .'}]
43,postcholecystectomy syndrome : diagnosis,[{'summary_text': 'postcholecystectomy syndrome syndrome : diagnosis .'}]
44,congenital heart defect : symptoms,[{'summary_text': 'congenital heart defect symptoms : symptoms . eti'}]
45,subclavian steal syndrome : general,[{'summary_text': 'subclavian steal syndrome : a systo'}]
