,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2
0,0.07539095878601074,0.01168768886564861,0.00529332160949707,0.0013049320196357708,0.01,2,128,0.0001,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 1e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
9,0.06445837020874023,0.005966602836304354,0.004122209548950195,0.0004373939530538773,0.01,2,128,0.001,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 3e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
1,0.06384763717651368,0.0011982177991606828,0.0039599895477294925,0.00018290261366688557,0.01,2,128,0.0001,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 3e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
15,0.06572613716125489,0.005961359070592074,0.004059839248657227,0.00015740837332465653,0.01,2,128,0.003,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 1e-05}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
14,0.06455602645874023,0.0038179712390235447,0.00409550666809082,0.00031361610707805407,0.01,2,128,0.003,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 5e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
13,0.062102746963500974,0.0012467411676331806,0.0068165302276611325,0.003461439572176795,0.01,2,128,0.003,3e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 3e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
12,0.06336374282836914,0.0032043704226369144,0.004158735275268555,0.00036814623440011826,0.01,2,128,0.003,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.003, 'reg_lambda': 1e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
10,0.06336522102355957,0.002886876626419525,0.00395660400390625,7.748543665725782e-05,0.01,2,128,0.001,5e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 5e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
11,0.06344466209411621,0.0032689428301332485,0.004065036773681641,0.00023128312824337118,0.01,2,128,0.001,1e-05,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 1e-05}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
8,0.06189651489257812,0.0018182325155510278,0.003946113586425781,0.00013333576035691238,0.01,2,128,0.001,1e-06,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 128, 'reg_alpha': 0.001, 'reg_lambda': 1e-06}",0.664,0.664,0.668,0.668,0.668,0.8364000000000001,0.0019595917942265445,1,0.664,0.664,0.668,0.668,0.668,0.6664000000000001,0.0019595917942265445,1
